ID da Venda,Data da Venda,Produto,Categoria,Preço Unitário,Quantidade Vendida,Desconto,Valor Total,Localização,Forma de Pagamento,id_registro,flag_quantidade_invalida
1072,2023-01-18 05:46:47.471647765,Notebook B,Eletrônicos,3500.0,4,0.06,13160.0,Belo Horizonte,Cartão de Crédito,72,False
1073,2023-01-18 11:36:27.858572381,Smartphone A,Eletrônicos,1200.0,1,0.07,1116.0,Curitiba,Cartão de Débito,73,False
1074,2023-01-18 17:26:08.245496998,Notebook B,Eletrônicos,3500.0,2,0.07,6510.0,Curitiba,Cartão de Crédito,74,False
1075,2023-01-18 23:15:48.632421614,Calça E,Roupas,120.0,1,0.01,118.8,Rio De Janeiro,Cartão de Débito,75,False
1076,2023-01-19 05:05:29.019346230,Notebook B,Eletrônicos,3500.0,3,0.09,9555.0,Salvador,Cartão de Crédito,76,False
1077,2023-01-19 10:55:09.406270847,Camisa D,Roupas,80.0,2,0.05,152.0,Belo Horizonte,Boleto,77,False
1078,2023-01-19 16:44:49.793195463,Camisa D,Roupas,80.0,3,0.04,230.4,Curitiba,Cartão de Crédito,78,False
1079,2023-01-19 22:34:30.180120080,Livro G,Livros,60.0,5,0.03,291.0,Belo Horizonte,Boleto,79,False
1080,2023-01-20 04:24:10.567044696,Camisa D,Roupas,80.0,1,0.01,79.2,São Paulo,Cartão de Crédito,80,False
1081,2023-01-20 10:13:50.953969312,Livro G,Livros,60.0,6,0.14,154.8,São Paulo,Pix,81,False
1082,2023-01-20 16:03:31.340893929,Camisa D,Roupas,80.0,3,0.07,223.2,Belo Horizonte,Cartão de Crédito,82,False
1083,2023-01-20 21:53:11.727818545,Calça E,Roupas,120.0,2,0.04,230.4,Rio De Janeiro,Pix,83,False
1084,2023-01-21 03:42:52.114743162,Curso Online H,Educação,500.0,1,0.04,480.0,Belo Horizonte,Cartão de Crédito,84,False
1085,2023-01-21 09:32:32.501667778,Livro G,Livros,60.0,4,0.09,218.4,Rio De Janeiro,Cartão de Débito,85,False
1086,2023-01-21 15:22:12.888592394,Fone C,Eletrônicos,1626.54,4,0.07,6050.73,São Paulo,Pix,86,False
1087,2023-01-21 21:11:53.275517011,Tênis F,Roupas,250.0,3,0.04,720.0,São Paulo,Cartão de Débito,87,False
1088,2023-01-22 03:01:33.662441627,Smartphone A,Eletrônicos,1200.0,1,0.02,1176.0,Belo Horizonte,Cartão de Débito,88,False
1089,2023-01-22 08:51:14.049366244,Camisa D,Roupas,80.0,2,0.05,152.0,São Paulo,Cartão de Crédito,89,False
1090,2023-01-22 14:40:54.436290860,Notebook B,Eletrônicos,3500.0,3,0.15,8925.0,Belo Horizonte,Pix,90,False
1091,2023-01-22 20:30:34.823215477,Curso Online H,Educação,500.0,6,0.05,2850.0,Rio De Janeiro,Cartão de Débito,91,False
1092,2023-01-23 02:20:15.210140093,Camisa D,Roupas,80.0,3,0.07,223.2,Curitiba,Cartão de Crédito,92,False
1093,2023-01-23 08:09:55.597064709,Notebook B,Eletrônicos,3500.0,4,0.04,13440.0,São Paulo,Cartão de Crédito,93,False
1094,2023-01-23 13:59:35.983989326,Tênis F,Roupas,250.0,3,0.08,690.0,São Paulo,Cartão de Crédito,94,False
1095,2023-01-23 19:49:16.370913942,Tênis F,Roupas,250.0,3,0.04,720.0,Belo Horizonte,Cartão de Crédito,95,False
1096,2023-01-24 01:38:56.757838559,Tênis F,Roupas,250.0,6,0.03,1455.0,Rio De Janeiro,Cartão de Débito,96,False
1097,2023-01-24 07:28:37.144763175,Notebook B,Eletrônicos,3500.0,5,0.11,15575.0,São Paulo,Cartão de Débito,97,False
1098,2023-01-24 13:18:17.531687791,Camisa D,Roupas,80.0,3,0.02,235.2,Salvador,Boleto,98,False
1099,2023-01-24 19:07:57.918612408,Tênis F,Roupas,250.0,1,0.14,215.0,São Paulo,Cartão de Crédito,99,False
1100,2023-01-25 00:57:38.305537024,Calça E,Roupas,120.0,4,0.06,451.2,Rio De Janeiro,Boleto,100,False
1101,2023-01-25 06:47:18.692461641,Livro G,Livros,60.0,3,0.09,163.8,São Paulo,Pix,101,False
1102,2023-01-25 12:36:59.079386257,Notebook B,Eletrônicos,3500.0,4,0.07,13020.0,Rio De Janeiro,Boleto,102,False
1103,2023-01-25 18:26:39.466310873,Notebook B,Eletrônicos,3500.0,2,0.02,6860.0,Rio De Janeiro,Pix,103,False
1104,2023-01-26 00:16:19.853235490,Camisa D,Eletrodomésticos,80.0,2,0.06,150.4,São Paulo,Pix,104,False
1105,2023-01-26 06:06:00.240160106,Notebook B,Eletrônicos,3500.0,6,0.02,20580.0,Curitiba,Cartão de Crédito,105,False
1106,2023-01-26 11:55:40.627084723,Notebook B,Eletrônicos,3500.0,4,0.06,13160.0,Rio De Janeiro,Cartão de Crédito,106,False
1107,2023-01-26 17:45:21.014009339,Tênis F,Roupas,250.0,5,0.05,1187.5,Belo Horizonte,Cartão de Crédito,107,False
1108,2023-01-26 23:35:01.400933956,Camisa D,Roupas,80.0,3,0.02,235.2,São Paulo,Boleto,108,False
1109,2023-01-27 05:24:41.787858572,Tênis F,Roupas,250.0,2,0.15,425.0,Rio De Janeiro,Boleto,109,False
1110,2023-01-27 11:14:22.174783188,Livro G,Livros,60.0,2,0.11,106.8,São Paulo,Pix,110,False
1111,2023-01-27 17:04:02.561707805,Curso Online H,Educação,500.0,1,0.04,480.0,Curitiba,Pix,111,False
1112,2023-01-27 22:53:42.948632421,Livro G,Livros,60.0,1,0.04,57.6,Belo Horizonte,Boleto,112,False
1113,2023-01-28 04:43:23.335557038,Curso Online H,Educação,500.0,4,0.04,1920.0,Curitiba,Cartão de Débito,113,False
1114,2023-01-28 10:33:03.722481654,Tênis F,Roupas,250.0,4,0.05,950.0,Rio De Janeiro,Cartão de Débito,114,False
1115,2023-01-28 16:22:44.109406271,Livro G,Livros,60.0,5,0.03,291.0,Curitiba,Cartão de Crédito,115,False
1116,2023-01-28 22:12:24.496330887,Camisa D,Roupas,80.0,3,0.05,228.0,Belo Horizonte,Cartão de Crédito,116,False
1117,2023-01-29 04:02:04.883255503,Smartphone A,Eletrônicos,1200.0,5,0.04,5760.0,São Paulo,Cartão de Crédito,117,False
1118,2023-01-29 09:51:45.270180120,Tênis F,Roupas,250.0,2,0.08,460.0,São Paulo,Cartão de Crédito,118,False
1119,2023-01-29 15:41:25.657104736,Curso Online H,Educação,500.0,0,0.13,1305.0,Rio De Janeiro,Pix,119,True
1120,2023-01-29 21:31:06.044029353,Calça E,Roupas,120.0,0,0.14,103.2,Belo Horizonte,Cartão de Crédito,120,True
1121,2023-01-30 03:20:46.430953969,Curso Online H,Educação,500.0,6,0.06,2820.0,São Paulo,Pix,121,False
1122,2023-01-30 09:10:26.817878585,Calça E,Roupas,120.0,3,0.11,320.4,Belo Horizonte,Cartão de Crédito,122,False
1123,2023-01-30 15:00:07.204803202,Notebook B,Eletrônicos,3500.0,3,0.16,8820.0,Rio De Janeiro,Cartão de Crédito,123,False
1124,2023-01-30 20:49:47.591727818,Livro G,Livros,60.0,4,0.04,230.4,Rio De Janeiro,Pix,124,False
1125,2023-01-31 02:39:27.978652435,Calça E,Roupas,120.0,3,0.02,352.8,São Paulo,Pix,125,False
1126,2023-01-31 08:29:08.365577051,Curso Online H,Educação,500.0,7,0.03,3395.0,Rio De Janeiro,Cartão de Crédito,126,False
1127,2023-01-31 14:18:48.752501667,Notebook B,Eletrônicos,3500.0,3,0.01,10395.0,São Paulo,Cartão de Débito,127,False
1128,2023-01-31 20:08:29.139426284,Smartphone A,Eletrônicos,1200.0,3,0.13,3132.0,São Paulo,Cartão de Crédito,128,False
1129,2023-02-01 01:58:09.526350900,Camisa D,Roupas,80.0,3,0.09,218.4,Belo Horizonte,Boleto,129,False
1130,2023-02-01 07:47:49.913275517,Camisa D,Roupas,80.0,4,0.11,284.8,São Paulo,Cartão de Débito,130,False
1131,2023-02-01 13:37:30.300200133,Camisa D,Roupas,80.0,4,0.08,294.4,São Paulo,Cartão de Crédito,131,False
1132,2023-02-01 19:27:10.687124749,Calça E,Roupas,120.0,4,0.02,470.4,São Paulo,Cartão de Débito,132,False
1133,2023-02-02 01:16:51.074049366,Smartphone A,Eletrônicos,1200.0,7,0.05,7980.0,Rio De Janeiro,Pix,133,False
1134,2023-02-02 07:06:31.460973982,Calça E,Roupas,120.0,2,0.13,208.8,São Paulo,Pix,134,False
1135,2023-02-02 12:56:11.847898599,Livro G,Livros,60.0,3,0.07,167.4,São Paulo,Pix,135,False
9484,2023-02-02 18:45:52.234823215,Calça E,Roupas,120.0,-1,0.07,223.2,Rio De Janeiro,Cartão de Crédito,136,True
1137,2023-02-03 00:35:32.621747832,Smartphone A,Eletrônicos,1200.0,3,0.02,3528.0,Rio De Janeiro,Pix,137,False
1138,2023-02-03 06:25:13.008672448,Smartphone A,Eletrônicos,1200.0,4,0.01,4752.0,Salvador,Pix,138,False
1139,2023-02-03 12:14:53.395597064,Livro G,Moda,60.0,4,0.06,225.6,Rio De Janeiro,Pix,139,False
1140,2023-02-03 18:04:33.782521681,Smartphone A,Eletrônicos,1200.0,3,0.1,3240.0,Rio De Janeiro,Cartão de Crédito,140,False
1141,2023-02-03 23:54:14.169446297,Curso Online H,Educação,500.0,2,0.12,880.0,Rio De Janeiro,Pix,141,False
1142,2023-02-04 05:43:54.556370914,Smartphone A,Eletrônicos,1200.0,5,0.06,5640.0,São Paulo,Cartão de Débito,142,False
9484,2023-02-04 11:33:34.943295530,Camisa D,Roupas,80.0,2,0.15,136.0,Curitiba,Pix,143,False
1144,2023-02-04 17:23:15.330220146,Curso Online H,Educação,500.0,3,0.02,1470.0,Rio De Janeiro,Cartão de Crédito,144,False
1145,2023-02-04 23:12:55.717144763,Curso Online H,Educação,500.0,3,0.11,1335.0,São Paulo,Cartão de Crédito,145,False
1146,2023-02-05 05:02:36.104069379,Livro G,Livros,60.0,3,0.02,176.4,Curitiba,Cartão de Crédito,146,False
1147,2023-02-05 10:52:16.490993996,Fone C,Eletrônicos,1626.54,1,0.02,1594.01,São Paulo,Cartão de Débito,147,False
1148,2023-02-05 16:41:56.877918612,Fone C,Eletrônicos,1626.54,5,0.07,7563.41,Salvador,Cartão de Débito,148,False
1149,2023-02-05 22:31:37.264843228,Smartphone A,Eletrônicos,1200.0,2,0.04,2304.0,Curitiba,Cartão de Débito,149,False
1150,2023-02-06 04:21:17.651767845,Curso Online H,Educação,500.0,1,0.04,480.0,Rio De Janeiro,Cartão de Crédito,150,False
1151,2023-02-06 10:10:58.038692461,Fone C,Eletrônicos,1626.54,3,0.07,4538.05,São Paulo,Pix,151,False
1152,2023-02-06 16:00:38.425617078,Fone C,Eletrônicos,1626.54,3,0.08,4489.25,São Paulo,Cartão de Crédito,152,False
1153,2023-02-06 21:50:18.812541694,Smartphone A,Eletrônicos,1200.0,4,0.08,4416.0,São Paulo,Cartão de Crédito,153,False
1154,2023-02-07 03:39:59.199466311,Fone C,Eletrônicos,1626.54,3,0.02,4782.03,São Paulo,Pix,154,False
1155,2023-02-07 09:29:39.586390927,Calça E,Roupas,120.0,1,0.09,109.2,Rio De Janeiro,Cartão de Débito,155,False
1156,2023-02-07 15:19:19.973315543,Notebook B,Eletrônicos,3500.0,3,0.13,9135.0,Salvador,Cartão de Débito,156,False
1157,2023-02-07 21:09:00.360240160,Livro G,Livros,60.0,3,0.12,158.4,Rio De Janeiro,Cartão de Débito,157,False
1158,2023-02-08 02:58:40.747164776,Notebook B,Eletrônicos,3500.0,4,0.04,13440.0,Belo Horizonte,Cartão de Débito,158,False
1159,2023-02-08 08:48:21.134089393,Smartphone A,Eletrônicos,1200.0,3,0.06,3384.0,Belo Horizonte,Pix,159,False
1160,2023-02-08 14:38:01.521014009,Camisa D,Roupas,80.0,3,0.1,216.0,Curitiba,Cartão de Débito,160,False
1161,2023-02-08 20:27:41.907938625,Livro G,Livros,60.0,1,0.03,58.2,São Paulo,Boleto,161,False
1162,2023-02-09 02:17:22.294863242,Smartphone A,Eletrônicos,1200.0,4,0.12,4224.0,Rio De Janeiro,Cartão de Débito,162,False
1163,2023-02-09 08:07:02.681787858,Curso Online H,Educação,500.0,4,0.04,1920.0,Curitiba,Cartão de Crédito,163,False
1164,2023-02-09 13:56:43.068712475,Camisa D,Roupas,80.0,5,0.02,392.0,Curitiba,Pix,164,False
1165,2023-02-09 19:46:23.455637091,Notebook B,Eletrônicos,3500.0,1,0.02,3430.0,Salvador,Cartão de Crédito,165,False
1166,2023-02-10 01:36:03.842561707,Smartphone A,Eletrônicos,1200.0,5,0.08,5520.0,Belo Horizonte,Cartão de Crédito,166,False
1167,2023-02-10 07:25:44.229486324,Curso Online H,Educação,500.0,1,0.02,490.0,São Paulo,Pix,167,False
1168,2023-02-10 13:15:24.616410940,Livro G,Livros,60.0,3,0.05,171.0,Rio De Janeiro,Cartão de Crédito,168,False
1169,2023-02-10 19:05:05.003335557,Livro G,Livros,60.0,2,0.18,98.4,São Paulo,Boleto,169,False
1170,2023-02-11 00:54:45.390260173,Tênis F,Roupas,250.0,3,0.03,727.5,Belo Horizonte,Cartão de Crédito,170,False
1171,2023-02-11 06:44:25.777184789,Curso Online H,Educação,500.0,0,0.14,1290.0,Rio De Janeiro,Pix,171,True
1172,2023-02-11 12:34:06.164109406,Calça E,Roupas,120.0,1,0.08,110.4,Belo Horizonte,Cartão de Débito,172,False
1173,2023-02-11 18:23:46.551034022,Fone C,Eletrônicos,1626.54,3,0.06,4586.84,Salvador,Cartão de Crédito,173,False
1174,2023-02-12 00:13:26.937958639,Camisa D,Roupas,80.0,5,0.04,384.0,Belo Horizonte,Pix,174,False
1175,2023-02-12 06:03:07.324883255,Curso Online H,Educação,500.0,2,0.06,940.0,São Paulo,Boleto,175,False
1176,2023-02-12 11:52:47.711807872,Tênis F,Roupas,250.0,-1,0.01,742.5,São Paulo,Pix,176,True
1177,2023-02-12 17:42:28.098732488,Fone C,Eletrônicos,1626.54,4,0.02,6376.04,Curitiba,Cartão de Débito,177,False
1178,2023-02-12 23:32:08.485657104,Fone C,Eletrônicos,1626.54,1,0.03,1577.74,São Paulo,Boleto,178,False
1179,2023-02-13 05:21:48.872581721,Smartphone A,Eletrônicos,1200.0,3,0.11,3204.0,São Paulo,Cartão de Crédito,179,False
1180,2023-02-13 11:11:29.259506337,Fone C,Eletrônicos,1626.54,2,0.09,2960.3,São Paulo,Cartão de Crédito,180,False
1181,2023-02-13 17:01:09.646430954,Calça E,Roupas,120.0,1,0.1,108.0,Rio De Janeiro,Cartão de Crédito,181,False
1182,2023-02-13 22:50:50.033355570,Livro G,Livros,60.0,2,0.01,118.8,São Paulo,Pix,182,False
1183,2023-02-14 04:40:30.420280186,Tênis F,Roupas,250.0,4,0.03,970.0,Salvador,Pix,183,False
1184,2023-02-14 10:30:10.807204803,Fone C,Eletrônicos,1626.54,2,0.11,2895.24,Salvador,Cartão de Débito,184,False
1185,2023-02-14 16:19:51.194129419,Smartphone A,Eletrônicos,1200.0,3,0.06,3384.0,Salvador,Boleto,185,False
1186,2023-02-14 22:09:31.581054036,Calça E,Roupas,120.0,2,0.13,208.8,São Paulo,Pix,186,False
1187,2023-02-15 03:59:11.967978652,Notebook B,Eletrônicos,3500.0,6,0.02,20580.0,Salvador,Cartão de Crédito,187,False
1188,2023-02-15 09:48:52.354903268,Livro G,Livros,60.0,2,0.03,116.4,Salvador,Cartão de Crédito,188,False
1189,2023-02-15 15:38:32.741827885,Livro G,Livros,60.0,5,0.1,270.0,Salvador,Boleto,189,False
1190,2023-02-15 21:28:13.128752501,Tênis F,Roupas,250.0,3,0.04,720.0,Belo Horizonte,Cartão de Crédito,190,False
1191,2023-02-16 03:17:53.515677118,Livro G,Livros,60.0,1,0.06,56.4,Belo Horizonte,Cartão de Débito,191,False
1192,2023-02-16 09:07:33.902601734,Fone C,Eletrônicos,1626.54,2,0.07,3025.36,São Paulo,Cartão de Crédito,192,False
1193,2023-02-16 14:57:14.289526351,Smartphone A,Eletrônicos,1200.0,4,0.09,4368.0,Curitiba,Cartão de Crédito,193,False
1194,2023-02-16 20:46:54.676450967,Livro G,Livros,60.0,3,0.03,174.6,São Paulo,Cartão de Débito,194,False
1195,2023-02-17 02:36:35.063375583,Livro G,Livros,60.0,4,0.03,232.8,São Paulo,Cartão de Crédito,195,False
1196,2023-02-17 08:26:15.450300200,Notebook B,Eletrônicos,3500.0,4,0.12,12320.0,Salvador,Boleto,196,False
1197,2023-02-17 14:15:55.837224816,Notebook B,Eletrônicos,3500.0,2,0.13,6090.0,Rio De Janeiro,Cartão de Crédito,197,False
1198,2023-02-17 20:05:36.224149433,Camisa D,Roupas,80.0,1,0.06,75.2,São Paulo,Pix,198,False
1199,2023-02-18 01:55:16.611074049,Calça E,Roupas,120.0,2,0.09,218.4,Salvador,Pix,199,False
1200,2023-02-18 07:44:56.997998665,Fone C,Eletrônicos,1626.54,5,0.05,7726.06,Salvador,Pix,200,False
1201,2023-02-18 13:34:37.384923282,Livro G,Livros,60.0,3,0.03,174.6,São Paulo,Boleto,201,False
1202,2023-02-18 19:24:17.771847898,Curso Online H,Educação,500.0,5,0.08,2300.0,Curitiba,Cartão de Crédito,202,False
1203,2023-02-19 01:13:58.158772515,Livro G,Livros,60.0,4,0.04,230.4,Rio De Janeiro,Cartão de Crédito,203,False
1204,2023-02-19 07:03:38.545697131,Smartphone A,Roupas,1200.0,3,0.06,3384.0,Rio De Janeiro,Cartão de Crédito,204,False
1205,2023-02-19 12:53:18.932621747,Camisa D,Roupas,80.0,4,0.04,307.2,São Paulo,Pix,205,False
1206,2023-02-19 18:42:59.319546364,Calça E,Roupas,120.0,3,0.08,331.2,São Paulo,Boleto,206,False
1207,2023-02-20 00:32:39.706470980,Curso Online H,Educação,500.0,3,0.03,1455.0,São Paulo,Cartão de Crédito,207,False
1208,2023-02-20 06:22:20.093395597,Camisa D,Roupas,80.0,3,0.16,201.6,São Paulo,Pix,208,False
1209,2023-02-20 12:12:00.480320213,Tênis F,Roupas,250.0,4,0.06,940.0,Salvador,Cartão de Crédito,209,False
9484,2023-02-20 18:01:40.867244829,Calça E,Roupas,120.0,2,0.08,220.8,Belo Horizonte,Cartão de Crédito,210,False
1211,2023-02-20 23:51:21.254169446,Livro G,Livros,60.0,-1,0.07,167.4,Curitiba,Pix,211,True
