ID da Venda,Data da Venda,Produto,Categoria,Preço Unitário,Quantidade Vendida,Desconto,Valor Total,Localização,Forma de Pagamento
1044,2023-01-11 10:35:56.637758505,Curso Online H,Educação,500.0,2,0.03,970.0,Curitiba,Cartão de Crédito
1045,2023-01-11 16:25:37.024683122,Camisa D,Roupas,80.0,2,0.07,148.8,Salvador,Pix
1046,2023-01-11 22:15:17.411607738,Camisa D,Roupas,80.0,-1,0.1,72.0,São Paulo,Cartão de Débito
1047,2023-01-12 04:04:57.798532354,Curso Online H,Educação,500.0,3,0.09,1365.0,Rio de Janeiro,Cartão de Crédito
1048,2023-01-12 09:54:38.185456971,Livro G,Livros,60.0,2,0.01,118.8,BELO HORIZONTE,Cartão de Crédito
1049,2023-01-12 15:44:18.572381587,Tênis F,Roupas,250.0,4,0.2,800.0,São Paulo,Cartão de Crédito
1050,2023-01-12 21:33:58.959306204,Tênis F,Roupas,250.0,3,0.07,697.5,Rio de Janeiro,Boleto
1051,2023-01-13 03:23:39.346230820,Livro G,Livros,60.0,3,0.03,174.6,Rio de Janeiro,Cartão de Débito
1052,2023-01-13 09:13:19.733155436,Tênis F,Roupas,250.0,1,0.07,232.5,Curitiba,Cartão de Crédito
1053,2023-01-13 15:03:00.120080053,Fone C,Eletrônicos,1626.54,2,0.04,3122.96,Curitiba,Pix
1054,2023-01-13 20:52:40.507004669,Camisa D,Roupas,80.0,2,0.09,145.6,Belo Horizonte,Cartão de Crédito
1055,2023-01-14 02:42:20.893929286,Livro G,Livros,60.0,4,0.04,230.4,Belo Horizonte,Cartão de Crédito
1056,2023-01-14 08:32:01.280853902,Camisa D,Roupas,80.0,2,0.01,158.4,Belo Horizonte,Cartão de Crédito
1057,2023-01-14 14:21:41.667778519,Curso Online H,Educação,500.0,3,0.07,1395.0,Rio de Janeiro,Cartão de Débito
1058,2023-01-14 20:11:22.054703135,Smartphone A,Eletrônicos,1200.0,3,0.07,3348.0,Rio de Janeiro,Cartão de Crédito
1059,2023-01-15 02:01:02.441627751,Fone C,Eletrônicos,1626.54,4,0.07,6050.73,Rio de Janeiro,Cartão de Débito
1060,2023-01-15 07:50:42.828552368,Calça E,Roupas,120.0,5,0.02,588.0,Salvador,Pix
1061,2023-01-15 13:40:23.215476984,Fone C,Eletrônicos,1626.54,1,0.09,1480.15,Belo Horizonte,Cartão de Crédito
1062,2023-01-15 19:30:03.602401601,Livro G,Livros,60.0,3,0.08,165.6,Rio de Janeiro,Cartão de Crédito
1063,2023-01-16 01:19:43.989326217,Calça E,Roupas,120.0,2,0.04,230.4,Curitiba,Cartão de Crédito
1064,2023-01-16 07:09:24.376250833,Smartphone A,Eletrônicos,1200.0,4,0.05,4560.0, Rio de Janeiro ,Cartão de Débito
1065,2023-01-16 12:59:04.763175450,Livro G,Livros,60.0,2,0.12,105.6,Belo Horizonte,Boleto
1066,2023-01-16 18:48:45.150100066,Notebook B,Eletrônicos,3500.0,2,0.06,6580.0,Rio de Janeiro,Cartão de Crédito
1067,2023-01-17 00:38:25.537024683,Camisa D,Roupas,80.0,3,0.1,216.0,São Paulo,Cartão de Crédito
1068,2023-01-17 06:28:05.923949299,Smartphone A,Eletrônicos,1200.0,3,0.06,3384.0,Belo Horizonte,Cartão de Crédito
1069,2023-01-17 12:17:46.310873916,Camisa D,Roupas,80.0,1,0.11,71.2,Belo Horizonte,Cartão de Crédito
1070,2023-01-17 18:07:26.697798532,Tênis F,Roupas,250.0,2,0.06,470.0,Rio de Janeiro,debito
1071,2023-01-17 23:57:07.084723148,Notebook B,Eletrônicos,3500.0,5,0.1,15750.0,Rio de Janeiro,Cartão de Crédito
1072,2023-01-18 05:46:47.471647765,Notebook B,Eletrônicos,3500.0,4,0.06,13160.0,Belo Horizonte,Cartão de Crédito
1073,2023-01-18 11:36:27.858572381,Smartphone A,Eletrônicos,1200.0,1,0.07,1116.0,Curitiba,Cartão de Débito
1074,2023-01-18 17:26:08.245496998,Notebook B,Eletrônicos,3500.0,2,0.07,6510.0,Curitiba,Cartão de Crédito
1075,2023-01-18 23:15:48.632421614,Calça E,Roupas,120.0,1,0.01,118.8,Rio de Janeiro,Cartão de Débito
1076,2023-01-19 05:05:29.019346230,Notebook B,Eletrônicos,3500.0,3,0.09,9555.0,Salvador,Cartão de Crédito
1077,2023-01-19 10:55:09.406270847,Camisa D,Roupas,80.0,2,0.05,152.0,Belo Horizonte,Boleto
1078,2023-01-19 16:44:49.793195463,Camisa D,Roupas ,80.0,3,0.04,230.4,Curitiba,Cartão de Crédito
1079,2023-01-19 22:34:30.180120080,Livro G,Livros,60.0,5,0.03,291.0,Belo Horizonte,Boleto
1080,2023-01-20 04:24:10.567044696,Camisa D,Roupas,80.0,1,0.01,79.2,São Paulo,Cartão de Crédito
1081,2023-01-20 10:13:50.953969312,Livro G,Livros,60.0,6,0.14,154.8,São Paulo,Pix
1082,2023-01-20 16:03:31.340893929,Camisa D,Roupas,80.0,3,0.07,223.2,Belo Horizonte,Cartão de Crédito
1083,2023-01-20 21:53:11.727818545,Calça E,Roupas,120.0,2,0.04,230.4,Rio de Janeiro,Pix
1084,2023-01-21 03:42:52.114743162,Curso Online H,Educação,500.0,1,0.04,480.0,Belo Horizonte,Cartão de Crédito
1085,2023-01-21 09:32:32.501667778,Livro G,Livros,60.0,4,0.09,218.4,Rio de Janeiro,Cartão de Débito
1086,2023-01-21 15:22:12.888592394,Fone C,Eletrônicos,1626.54,4,0.07,6050.73,São Paulo,Pix
1087,2023-01-21 21:11:53.275517011,Tênis F,Roupas,250.0,3,0.04,720.0,São Paulo,Cartão de Débito
1088,2023-01-22 03:01:33.662441627,Smartphone A,Eletrônicos,1200.0,1,0.02,1176.0,Belo Horizonte,Cartão de Débito
1089,2023-01-22 08:51:14.049366244,Camisa D,Roupas,80.0,2,0.05,152.0,São Paulo,Cartão de Crédito
1090,2023-01-22 14:40:54.436290860,Notebook B,Eletrônicos,3500.0,3,0.15,8925.0,Belo Horizonte,pix
1091,2023-01-22 20:30:34.823215477,Curso Online H,Educação,500.0,6,0.05,2850.0,Rio de Janeiro,Cartão de Débito
1092,2023-01-23 02:20:15.210140093,Camisa D,Roupas,80.0,3,0.07,223.2,Curitiba,Cartão de Crédito
1093,2023-01-23 08:09:55.597064709,Notebook B,Eletrônicos,3500.0,4,0.04,13440.0,São Paulo,Cartão de Crédito
1094,2023-01-23 13:59:35.983989326,Tênis F,Roupas,250.0,3,0.08,690.0,São Paulo,Cartão de Crédito
1095,2023-01-23 19:49:16.370913942,Tênis F,Roupas,250.0,3,0.04,720.0,Belo Horizonte,Cartão de Crédito
1096,2023-01-24 01:38:56.757838559,Tênis F,Roupas,250.0,6,0.03,1455.0,Rio de Janeiro,Cartão de Débito
1097,2023-01-24 07:28:37.144763175,Notebook B,Eletrônicos,3500.0,5,0.11,15575.0,São Paulo,Cartão de Débito
1098,2023-01-24 13:18:17.531687791,Camisa D,Roupas,80.0,3,0.02,235.2,Salvador,Boleto
1099,2023-01-24 19:07:57.918612408,Tênis F,Roupas,250.0,1,0.14,215.0,São Paulo,Cartão de Crédito
1100,2023-01-25 00:57:38.305537024,Calça E,Roupas,120.0,4,0.06,451.2, Rio de Janeiro ,Boleto
1101,2023-01-25 06:47:18.692461641,Livro G,Livros,60.0,3,0.09,163.8,São Paulo,pix
1102,2023-01-25 12:36:59.079386257,Notebook B,Eletrônicos,3500.0,4,0.07,13020.0,Rio de Janeiro,Boleto
1103,2023-01-25 18:26:39.466310873,Notebook B,Eletrônicos,3500.0,2,0.02,6860.0,Rio de Janeiro,Pix
1104,2023-01-26 00:16:19.853235490,Camisa D,Eletrodomésticos,80.0,2,0.06,150.4,São Paulo,Pix
1105,2023-01-26 06:06:00.240160106,Notebook B,Eletrônicos,3500.0,6,0.02,20580.0,Curitiba,Cartão de Crédito
1106,2023-01-26 11:55:40.627084723,Notebook B,Eletrônicos,3500.0,4,0.06,13160.0,Rio de Janeiro,Cartão de Crédito
1107,2023-01-26 17:45:21.014009339,Tênis F,Roupas,250.0,5,0.05,1187.5,Belo Horizonte,Cartão de Crédito
1108,2023-01-26 23:35:01.400933956,Camisa D,Roupas,80.0,3,0.02,235.2,São Paulo,Boleto
1109,2023-01-27 05:24:41.787858572,Tênis F,Roupas,250.0,2,0.15,425.0,Rio de Janeiro,Boleto
1110,2023-01-27 11:14:22.174783188,Livro G,Livros,60.0,2,0.11,106.8,São Paulo,Pix
1111,2023-01-27 17:04:02.561707805,Curso Online H,Educação,500.0,1,0.04,480.0,Curitiba,Pix
1112,2023-01-27 22:53:42.948632421,Livro G,Livros,60.0,1,0.04,57.6,Belo Horizonte,Boleto
1113,2023-01-28 04:43:23.335557038,Curso Online H,Educação,500.0,4,0.04,1920.0,Curitiba,Cartão de Débito
1114,2023-01-28 10:33:03.722481654,Tênis F,Roupas,250.0,4,0.05,950.0,Rio de Janeiro,Cartão de Débito
1115,2023-01-28 16:22:44.109406271,Livro G,Livros,60.0,5,0.03,291.0,Curitiba,Cartão de Crédito
1116,2023-01-28 22:12:24.496330887,Camisa D,Roupas,80.0,3,0.05,228.0,Belo Horizonte,Cartão de Crédito
1117,2023-01-29 04:02:04.883255503,Smartphone A,Eletrônicos,1200.0,5,0.04,5760.0,São Paulo,Cartão de Crédito
1118,2023-01-29 09:51:45.270180120,Tênis F,Roupas,250.0,2,0.08,460.0,São Paulo,Cartão de Crédito
1119,2023-01-29 15:41:25.657104736,Curso Online H,Educação,500.0,0,0.13,1305.0,Rio de Janeiro,Pix
1120,2023-01-29 21:31:06.044029353,Calça E,Roupas,120.0,0,0.14,103.2,Belo Horizonte,Cartão de Crédito
1121,2023-01-30 03:20:46.430953969,Curso Online H,Educação,500.0,6,0.06,2820.0,São Paulo,Pix
1122,2023-01-30 09:10:26.817878585,Calça E,Roupas,120.0,3,0.11,320.4,Belo Horizonte,Cartão de Crédito
1123,2023-01-30 15:00:07.204803202,Notebook B,Eletrônicos,3500.0,3,0.16,8820.0,Rio de Janeiro,Cartão de Crédito
1124,2023-01-30 20:49:47.591727818,Livro G,Livros,60.0,4,0.04,230.4,Rio de Janeiro,Pix
1125,2023-01-31 02:39:27.978652435,Calça E,Roupas,120.0,3,0.02,352.8,São Paulo,Pix
1126,2023-01-31 08:29:08.365577051,Curso Online H,Educação ,500.0,7,0.03,3395.0,Rio de Janeiro,Credito
1127,2023-01-31 14:18:48.752501667,Notebook B,Eletrônicos,3500.0,3,0.01,10395.0,São Paulo,Cartão de Débito
1128,2023-01-31 20:08:29.139426284,Smartphone A,Eletrônicos,1200.0,3,0.13,3132.0,São Paulo,Cartão de Crédito
1129,2023-02-01 01:58:09.526350900,Camisa D,Roupas,80.0,3,0.09,218.4,Belo Horizonte,Boleto
1130,2023-02-01 07:47:49.913275517,Camisa D,Roupas,80.0,4,0.11,284.8,São Paulo,Cartão de Débito
1131,2023-02-01 13:37:30.300200133,Camisa D,Roupas,80.0,4,0.08,294.4,São Paulo,Cartão de Crédito
1132,2023-02-01 19:27:10.687124749,Calça E,Roupas,120.0,4,0.02,470.4,São Paulo,Cartão de Débito
1133,2023-02-02 01:16:51.074049366,Smartphone A,Eletrônicos,1200.0,7,0.05,7980.0,Rio de Janeiro,Pix
1134,2023-02-02 07:06:31.460973982,Calça E,Roupas,0.0,2,0.13,208.8,São Paulo,Pix
1135,2023-02-02 12:56:11.847898599,Livro G,Livros,60.0,3,0.07,167.4,São Paulo,Pix
9484,2023-02-02 18:45:52.234823215,Calça E,Roupas,120.0,-1,0.07,223.2,Rio de Janeiro,Cartão de Crédito
1137,2023-02-03 00:35:32.621747832,Smartphone A,Eletrônicos ,1200.0,3,0.02,3528.0,Rio de Janeiro,Pix
1138,2023-02-03 06:25:13.008672448,Smartphone A,Eletrônicos,1200.0,4,0.01,4752.0,Salvador,Pix
1139,2023-02-03 12:14:53.395597064,Livro G,Moda,60.0,4,0.06,225.6,Rio de Janeiro,Pix
1140,2023-02-03 18:04:33.782521681,Smartphone A,Eletrônicos,1200.0,3,0.1,3240.0,Rio de Janeiro,Cartão de Crédito
1141,2023-02-03 23:54:14.169446297,Curso Online H,Educação,500.0,2,0.12,880.0,Rio de Janeiro,Pix
1142,2023-02-04 05:43:54.556370914,Smartphone A,Eletrônicos,1200.0,5,0.06,5640.0,São Paulo,Cartão de Débito
9484,2023-02-04 11:33:34.943295530,Camisa D,Roupas,80.0,2,0.15,136.0,Curitiba,Pix
1144,2023-02-04 17:23:15.330220146,Curso Online H,Educação,500.0,3,0.02,1470.0,Rio de Janeiro,Cartão de Crédito
1145,2023-02-04 23:12:55.717144763,Curso Online H,Educação,500.0,3,0.11,1335.0,São Paulo,Cartão de Crédito
1146,2023-02-05 05:02:36.104069379,Livro G,Livros,60.0,3,0.02,176.4,Curitiba,Cartão de Crédito
1147,2023-02-05 10:52:16.490993996,Fone C,Eletrônicos,1626.54,1,0.02,1594.01,São Paulo,Cartão de Débito
1148,2023-02-05 16:41:56.877918612,Fone C,Eletrônicos,1626.54,5,0.07,7563.41,Salvador,Cartão de Débito
1149,2023-02-05 22:31:37.264843228,Smartphone A,Eletrônicos,1200.0,2,0.04,2304.0,Curitiba,Cartão de Débito
1150,2023-02-06 04:21:17.651767845,Curso Online H,Educação,500.0,1,0.04,480.0,Rio de Janeiro,Cartao de Credito
1151,2023-02-06 10:10:58.038692461,Fone C,Eletrônicos,1626.54,3,0.07,4538.05,São Paulo,Pix
1152,2023-02-06 16:00:38.425617078,Fone C,Eletrônicos,1626.54,3,0.08,4489.25,São Paulo,Cartão de Crédito
1153,2023-02-06 21:50:18.812541694,Smartphone A,Eletrônicos,1200.0,4,0.08,4416.0,São Paulo,Cartão de Crédito
1154,2023-02-07 03:39:59.199466311,Fone C,Eletrônicos,1626.54,3,0.02,4782.03,São Paulo,Pix
1155,2023-02-07 09:29:39.586390927,Calça E,Roupas,120.0,1,0.09,109.2,Rio de Janeiro,Cartão de Débito
1156,2023-02-07 15:19:19.973315543,Notebook B,Eletrônicos,3500.0,3,0.13,9135.0,Salvador,Cartão de Débito
1157,2023-02-07 21:09:00.360240160,Livro G,Livros,60.0,3,0.12,158.4,Rio de Janeiro,Cartão de Débito
1158,2023-02-08 02:58:40.747164776,Notebook B,Eletrônicos,3500.0,4,0.04,13440.0,Belo Horizonte,Cartão de Débito
1159,2023-02-08 08:48:21.134089393,Smartphone A,Eletrônicos,1200.0,3,0.06,3384.0,Belo Horizonte,pix
1160,2023-02-08 14:38:01.521014009,Camisa D,Roupas,80.0,3,0.1,216.0,Curitiba,Cartão de Débito
1161,2023-02-08 20:27:41.907938625,Livro G,Livros,60.0,1,0.03,58.2,São Paulo,Boleto
1162,2023-02-09 02:17:22.294863242,Smartphone A,Eletrônicos,1200.0,4,0.12,4224.0,Rio de Janeiro,Cartão de Débito
1163,2023-02-09 08:07:02.681787858,Curso Online H,Educação,500.0,4,0.04,1920.0,Curitiba,Cartão de Crédito
1164,2023-02-09 13:56:43.068712475,Camisa D,Roupas ,80.0,5,0.02,392.0,Curitiba,Pix
1165,2023-02-09 19:46:23.455637091,Notebook B,Eletrônicos,3500.0,1,0.02,3430.0,Salvador,Cartão de Crédito
1166,2023-02-10 01:36:03.842561707,Smartphone A,Eletrônicos,1200.0,5,0.08,5520.0,Belo Horizonte,Cartão de Crédito
1167,2023-02-10 07:25:44.229486324,Curso Online H,Educação,500.0,1,0.02,490.0,São Paulo,Pix
1168,2023-02-10 13:15:24.616410940,Livro G,Livros,60.0,3,0.05,171.0,Rio de Janeiro,Cartão de Crédito
1169,2023-02-10 19:05:05.003335557,Livro G,Livros,60.0,2,0.18,98.4,São Paulo,Boleto
1170,2023-02-11 00:54:45.390260173,Tênis F,Roupas,250.0,3,0.03,727.5,Belo Horizonte,Cartão de Crédito
1171,2023-02-11 06:44:25.777184789,Curso Online H,Educação,500.0,0,0.14,1290.0,Rio de Janeiro,Pix
1172,2023-02-11 12:34:06.164109406,Calça E,Roupas,120.0,1,0.08,110.4,Belo Horizonte,Cartão de Débito
1173,2023-02-11 18:23:46.551034022,Fone C,Eletrônicos,1626.54,3,0.06,4586.84,Salvador,Cartão de Crédito
1174,2023-02-12 00:13:26.937958639,Camisa D,Roupas,80.0,5,0.04,384.0,Belo Horizonte,Pix
1175,2023-02-12 06:03:07.324883255,Curso Online H,Educação,500.0,2,0.06,940.0,São Paulo,Boleto
1176,2023-02-12 11:52:47.711807872,Tênis F,Roupas ,250.0,-1,0.01,742.5,São Paulo,Pix
1177,2023-02-12 17:42:28.098732488,Fone C,Eletrônicos,1626.54,4,0.02,6376.04,Curitiba,Cartão de Débito
1178,2023-02-12 23:32:08.485657104,Fone C,Eletrônicos,1626.54,1,0.03,1577.74,São Paulo,Boleto
1179,2023-02-13 05:21:48.872581721,Smartphone A,Eletrônicos,1200.0,3,0.11,3204.0,São Paulo,Cartão de Crédito
1180,2023-02-13 11:11:29.259506337,Fone C,Eletrônicos,1626.54,2,0.09,2960.3,São Paulo,Cartão de Crédito
1181,2023-02-13 17:01:09.646430954,Calça E,Roupas,120.0,1,0.1,108.0,Rio de Janeiro,Cartão de Crédito
1182,2023-02-13 22:50:50.033355570,Livro G,Livros,60.0,2,0.01,118.8,são paulo,Pix
1183,2023-02-14 04:40:30.420280186,Tênis F,Roupas ,250.0,4,0.03,970.0,Salvador,Pix
1184,2023-02-14 10:30:10.807204803,Fone C,Eletrônicos,1626.54,2,0.11,2895.24,Salvador,Cartão de Débito
1185,2023-02-14 16:19:51.194129419,Smartphone A,Eletrônicos,1200.0,3,0.06,3384.0,Salvador,Boleto
1186,2023-02-14 22:09:31.581054036,Calça E,Roupas,120.0,2,0.13,208.8,São Paulo,Pix
1187,2023-02-15 03:59:11.967978652,Notebook B,Eletrônicos,3500.0,6,0.02,20580.0,Salvador,Cartão de Crédito
1188,2023-02-15 09:48:52.354903268,Livro G,Livros,60.0,2,0.03,116.4,Salvador,Cartão de Crédito
1189,2023-02-15 15:38:32.741827885,Livro G,Livros,60.0,5,0.1,270.0,Salvador,Boleto
1190,2023-02-15 21:28:13.128752501,Tênis F,Roupas,250.0,3,0.04,720.0,Belo Horizonte,Cartão de Crédito
1191,2023-02-16 03:17:53.515677118,Livro G,Livros,60.0,1,0.06,56.4,Belo Horizonte,Cartão de Débito
1192,2023-02-16 09:07:33.902601734,Fone C,Eletrônicos,1626.54,2,0.07,3025.36,São Paulo,Cartão de Crédito
1193,2023-02-16 14:57:14.289526351,Smartphone A,Eletrônicos,1200.0,4,0.09,4368.0,Curitiba,Cartão de Crédito
1194,2023-02-16 20:46:54.676450967,Livro G,Livros,60.0,3,0.03,174.6,São Paulo,Cartão de Débito
1195,2023-02-17 02:36:35.063375583,Livro G,Livros,60.0,4,0.03,232.8,São Paulo,Cartão de Crédito
1196,2023-02-17 08:26:15.450300200,Notebook B,Eletrônicos,3500.0,4,0.12,12320.0,Salvador,Boleto
1197,2023-02-17 14:15:55.837224816,Notebook B,Eletrônicos,3500.0,2,0.13,6090.0,Rio de Janeiro,Cartão de Crédito
1198,2023-02-17 20:05:36.224149433,Camisa D,Roupas,80.0,1,0.06,75.2,São Paulo,Pix
1199,2023-02-18 01:55:16.611074049,Calça E,Roupas,120.0,2,0.09,218.4,Salvador,Pix
1200,2023-02-18 07:44:56.997998665,Fone C,Eletrônicos,1626.54,5,0.05,7726.06,Salvador,Pix
1201,2023-02-18 13:34:37.384923282,Livro G,Livros,60.0,3,0.03,174.6,São Paulo,Boleto
1202,2023-02-18 19:24:17.771847898,Curso Online H,Educação,500.0,5,0.08,2300.0,Curitiba,Cartão de Crédito
1203,2023-02-19 01:13:58.158772515,Livro G,Livros,60.0,4,0.04,230.4,Rio de Janeiro,Cartão de Crédito
1204,2023-02-19 07:03:38.545697131,Smartphone A,Roupas,1200.0,3,0.06,3384.0,Rio de Janeiro,Cartão de Crédito
1205,2023-02-19 12:53:18.932621747,Camisa D,Roupas,80.0,4,0.04,307.2,São Paulo,Pix
1206,2023-02-19 18:42:59.319546364,Calça E,Roupas,120.0,3,0.08,331.2,São Paulo,Boleto
1207,2023-02-20 00:32:39.706470980,Curso Online H,Educação,500.0,3,0.03,1455.0,São Paulo,Cartão de Crédito
1208,2023-02-20 06:22:20.093395597,Camisa D,Roupas,80.0,3,0.16,201.6,São Paulo,Pix
1209,2023-02-20 12:12:00.480320213,Tênis F,Roupas,250.0,4,0.06,940.0,Salvador,Cartão de Crédito
9484,2023-02-20 18:01:40.867244829,Calça E,Roupas,120.0,2,0.08,220.8,Belo Horizonte,Cartão de Crédito
1211,2023-02-20 23:51:21.254169446,Livro G,Livros,60.0,-1,0.07,167.4,Curitiba,Pix
1212,2023-02-21 05:41:01.641094062,Livro G,Livros,60.0,4,0.02,235.2,Belo Horizonte,Cartão de Crédito
1213,2023-02-21 11:30:42.028018679,Calça E,Roupas,120.0,3,0.07,334.8,São Paulo,Cartão de Débito
1214,2023-02-21 17:20:22.414943295,Livro G,Livros,0.0,1,0.06,56.4,Salvador,Pix
1215,2023-02-21 23:10:02.801867912,Fone C,Eletrônicos,1626.54,2,0.08,2992.83,Curitiba,Pix
1216,2023-02-22 04:59:43.188792528,Calça E,Roupas,120.0,3,0.04,345.6,São Paulo,Cartão de Débito
1217,2023-02-22 10:49:23.575717145,Camisa D,Roupas,80.0,3,0.07,223.2,São Paulo,Cartão de Débito
1218,2023-02-22 16:39:03.962641761,Calça E,Roupas,120.0,2,0.01,237.6,Belo Horizonte,Cartão de Débito
1219,2023-02-22 22:28:44.349566377,Curso Online H,Educação,500.0,1,0.11,445.0,Belo Horizonte,Cartão de Crédito
1220,2023-02-23 04:18:24.736490994,Livro G,Moda,60.0,6,0.1,324.0,Curitiba,Pix
1221,2023-02-23 10:08:05.123415610,Fone C,Eletrônicos,1626.54,3,0.1,4391.66,São Paulo,Credito
1222,2023-02-23 15:57:45.510340227,Fone C,Eletrônicos,1626.54,2,0.09,2960.3,São Paulo,Cartão de Crédito
1223,2023-02-23 21:47:25.897264843,Tênis F,Roupas,250.0,3,0.02,735.0,Rio de Janeiro,Cartão de Débito
9484,2023-02-24 03:37:06.284189459,Camisa D,Roupas,80.0,1,0.09,72.8,Belo Horizonte,Pix
1225,2023-02-24 09:26:46.671114076,Notebook B,Eletrônicos,3500.0,3,0.07,9765.0,São Paulo,Cartão de Crédito
